Nested Sampling Global Log-Evidence           :    0.744894735143824732E+03  +/-    0.191249379928267599E+00
Nested Importance Sampling Global Log-Evidence:    0.744370056833955459E+03  +/-    0.160692680682230082E-01

Dim No.       Mean        Sigma
   1    0.717908193214204573E+02    0.227708439344189412E+00
   2    0.245825575275889024E+00    0.445327811196366483E-01
   3    0.290075808506662203E+00    0.103068775484909947E+00
   4    0.135122355274878869E+00    0.376492409380034922E-02
   5    0.246864805514611341E+01    0.485729492300727914E-01

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.718178032193005862E+02
   2    0.236440806446163720E+00
   3    0.300621311704592609E+00
   4    0.135084658388010787E+00
   5    0.245944939849483646E+01

MAP Parameters
Dim No.        Parameter
   1    0.718178032193005862E+02
   2    0.236440806446163720E+00
   3    0.300621311704592609E+00
   4    0.135084658388010787E+00
   5    0.245944939849483646E+01
