Nested Sampling Global Log-Evidence           :    0.742266827137849191E+03  +/-    0.187892366849434611E+00
Nested Importance Sampling Global Log-Evidence:    0.742194390237774883E+03  +/-    0.188758998580684373E-01

Dim No.       Mean        Sigma
   1    0.721235224016238448E+02    0.199879900632449731E+00
   2    0.364664795914184214E+00    0.138854683797231225E-01
   3    0.136065817964834551E+00    0.383312698446222795E-02
   4    0.247362196881552832E+01    0.489803632150602464E-01

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.721015048900507480E+02
   2    0.366300281761343827E+00
   3    0.136191241560341070E+00
   4    0.247166156535673531E+01

MAP Parameters
Dim No.        Parameter
   1    0.721015048900507480E+02
   2    0.366300281761343827E+00
   3    0.136191241560341070E+00
   4    0.247166156535673531E+01
