Nested Sampling Global Log-Evidence           :    0.744668257784083039E+03  +/-    0.196618686539246273E+00
Nested Importance Sampling Global Log-Evidence:    0.743997600866180164E+03  +/-    0.157291628487167406E-01

Dim No.       Mean        Sigma
   1    0.717627214673008780E+02    0.220196600494728251E+00
   2    0.192364539575512639E+00    0.675305478311503810E-01
   3   -0.689597574767408017E+00    0.894841221730240804E-01
   4    0.135179556901229819E+00    0.369398445082550625E-02
   5    0.246796329474156728E+01    0.497009136209637450E-01

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.717360508396263015E+02
   2    0.174121549850900253E+00
   3   -0.658679483948507283E+00
   4    0.133642956928530870E+00
   5    0.246342949986704873E+01

MAP Parameters
Dim No.        Parameter
   1    0.717360508396263015E+02
   2    0.174121549850900253E+00
   3   -0.658679483948507283E+00
   4    0.133642956928530870E+00
   5    0.246342949986704873E+01
